Time;SecondOfDay;RollGyroRate;PitchGyroRate;YawGyroRate;AccelXAxis;AccelYAxis;AccelZAxis;MagRawValueXAxis;MagRawValueYAxis;MagRawValueZAxis
15:18:03.024;55083,02426;0;0;0;-0,25;0,19;-9,93;0;0;0
15:18:03.194;55083,19425;0;0;0;-0,25;0,18;-9,92;0;0;0
15:18:03.384;55083,38426;0;0;0;-0,25;0,18;-9,93;0;0;0
15:18:03.564;55083,5643;0;0;0;-0,25;0,18;-9,92;0;0;0
15:18:03.714;55083,71429;0;0;0;-0,25;0,18;-9,93;0;0;0
15:18:03.904;55083,90432;0;0;0;-0,25;0,18;-9,93;0;0;0
15:18:04.034;55084,03433;0;0;0;-0,25;0,19;-9,92;0;0;0
15:18:04.254;55084,25435;0;0;0;-0,25;0,19;-9,93;0;0;0
15:18:04.364;55084,36435;0;0;0;-0,26;0,18;-9,93;0;0;0
15:18:04.494;55084,49436;0;0;0;-0,26;0,19;-9,93;0;0;0
15:18:04.634;55084,63436;0;0;0;-0,25;0,18;-9,93;0;0;0
15:18:04.764;55084,76436;0;0;0;-0,25;0,18;-9,93;0;0;0
15:18:04.904;55084,90439;0;0;0;-0,25;0,18;-9,93;0;0;0
15:18:05.054;55085,0544;0;0;0;-0,25;0,18;-9,93;0;0;0
15:18:05.214;55085,21441;0;0;0;-0,25;0,19;-9,93;0;0;0
15:18:05.384;55085,38442;0;0;0;-0,25;0,19;-9,92;0;0;0
15:18:05.484;55085,48443;0;0;0;-0,26;0,18;-9,92;0;0;0
15:18:05.584;55085,58442;0;0;0;-0,25;0,18;-9,93;0;0;0
15:18:05.714;55085,71444;0;0;0;-0,25;0,18;-9,93;0;0;0
15:18:05.844;55085,84445;0;0;0;-0,25;0,18;-9,92;0;0;0
15:18:06.054;55086,05445;0;0;0;-0,25;0,19;-9,92;0;0;0
15:18:06.254;55086,25448;0;0;0;-0,25;0,18;-9,92;0;0;0
15:18:06.414;55086,41449;0;0;0;-0,25;0,18;-9,93;0;0;0
15:18:06.574;55086,5745;0;0;0;-0,25;0,19;-9,93;0;0;0
15:18:06.704;55086,70451;0;0;0;-0,25;0,19;-9,92;0;0;0
15:18:06.874;55086,8745;0;0;0;-0,25;0,18;-9,93;0;0;0
15:18:06.954;55086,95453;0;0;0;-0,24;0,18;-9,93;0;0;0
15:18:07.044;55087,04451;0;0;0;-0,25;0,18;-9,92;0;0;0
15:18:07.184;55087,18454;0;0;0;-0,25;0,19;-9,93;0;0;0
15:18:07.284;55087,28455;0;0;0;-0,25;0,19;-9,93;0;0;0
15:18:07.404;55087,40456;0;0;0;-0,25;0,18;-9,93;0;0;0
15:18:07.564;55087,56457;0;0;0;-0,26;0,19;-9,92;0;0;0
15:18:07.654;55087,65456;0;0;0;-0,25;0,19;-9,92;0;0;0
15:18:07.714;55087,71458;0;0;0;-0,25;0,18;-9,94;0;0;0
15:18:07.804;55087,80458;0;0;0;-0,25;0,18;-9,93;0;0;0
15:18:07.854;55087,85459;0;0;0;-0,25;0,19;-9,92;0;0;0
15:18:07.914;55087,91459;0;0;0;-0,25;0,19;-9,93;0;0;0
15:18:07.984;55087,98458;0;0;0;-0,25;0,18;-9,93;0;0;0
15:18:08.054;55088,0546;0;0;0;-0,25;0,18;-9,92;0;0;0
15:18:08.114;55088,11461;0;0;0;-0,26;0,18;-9,93;0;0;0
15:18:08.244;55088,2446;0;0;0;-0,25;0,18;-9,93;0;0;0
15:18:08.324;55088,3246;0;0;0;-0,25;0,18;-9,93;0;0;0
15:18:08.454;55088,45461;0;0;0;-0,25;0,18;-9,93;0;0;0
15:18:08.584;55088,58464;0;0;0;-0,25;0,19;-9,93;0;0;0
15:18:08.654;55088,65462;0;0;0;-0,25;0,18;-9,93;0;0;0
15:18:08.814;55088,81464;0;0;0;-0,25;0,19;-9,92;0;0;0
15:18:08.954;55088,95467;0;0;0;-0,25;0,18;-9,93;0;0;0
15:18:09.064;55089,06465;0;0;0;-0,26;0,18;-9,94;0;0;0
15:18:09.224;55089,22468;0;0;0;-0,25;0,18;-9,94;0;0;0
15:18:09.334;55089,33467;0;0;0;-0,25;0,19;-9,92;0;0;0
15:18:09.434;55089,4347;0;0;0;-0,25;0,19;-9,94;0;0;0
15:18:09.484;55089,4847;0;0;0;-0,25;0,18;-9,93;0;0;0
15:18:09.564;55089,56469;0;0;0;-0,25;0,18;-9,93;0;0;0
15:18:09.654;55089,65469;0;0;0;-0,25;0,19;-9,93;0;0;0
15:18:09.704;55089,7047;0;0;0;-0,25;0,19;-9,93;0;0;0
15:18:09.814;55089,81471;0;0;0;-0,25;0,18;-9,93;0;0;0
15:18:09.974;55089,97472;0;0;0;-0,25;0,19;-9,93;0;0;0
15:18:10.064;55090,06474;0;0;0;-0,26;0,18;-9,93;0;0;0
15:18:10.134;55090,13473;0;0;0;-0,26;0,18;-9,92;0;0;0
15:18:10.264;55090,26476;0;0;0;-0,25;0,18;-9,92;0;0;0
15:18:10.364;55090,36474;0;0;0;-0,25;0,18;-9,94;0;0;0
15:18:10.484;55090,48475;0;0;0;-0,25;0,19;-9,93;0;0;0
15:18:10.544;55090,54477;0;0;0;-0,25;0,18;-9,93;0;0;0
15:18:10.674;55090,67476;0;0;0;-0,25;0,18;-9,93;0;0;0
15:18:10.804;55090,80477;0;0;0;-0,25;0,18;-9,93;0;0;0
15:18:10.904;55090,90478;0;0;0;-0,25;0,18;-9,93;0;0;0
15:18:10.954;55090,9548;0;0;0;-0,26;0,18;-9,92;0;0;0
15:18:11.054;55091,05479;0;0;0;-0,25;0,19;-9,93;0;0;0
15:18:11.204;55091,2048;0;0;0;-0,25;0,19;-9,93;0;0;0
15:18:11.274;55091,27481;0;0;0;-0,26;0,18;-9,92;0;0;0
15:18:11.464;55091,46482;0;0;0;-0,25;0,18;-9,93;0;0;0
15:18:11.584;55091,58483;0;0;0;-0,25;0,18;-9,93;0;0;0
15:18:11.754;55091,75484;0;0;0;-0,25;0,19;-9,93;0;0;0
15:18:11.904;55091,90485;0;0;0;-0,25;0,18;-9,92;0;0;0
15:18:12.054;55092,05488;0;0;0;-0,25;0,18;-9,93;0;0;0
15:18:12.164;55092,16489;0;0;0;-0,26;0,18;-9,93;0;0;0
15:18:12.244;55092,24487;0;0;0;-0,26;0,18;-9,92;0;0;0
15:18:12.364;55092,36488;0;0;0;-0,25;0,19;-9,93;0;0;0
15:18:12.444;55092,44489;0;0;0;-0,25;0,19;-9,93;0;0;0
15:18:12.614;55092,6149;0;0;0;-0,25;0,18;-9,93;0;0;0
15:18:12.744;55092,74493;0;0;0;-0,25;0,18;-9,93;0;0;0
15:18:12.884;55092,88493;0;0;0;-0,26;0,18;-9,93;0;0;0
15:18:13.024;55093,02495;0;0;0;-0,25;0,18;-9,93;0;0;0
15:18:13.094;55093,09493;0;0;0;-0,25;0,18;-9,92;0;0;0
15:18:13.224;55093,22494;0;0;0;-0,25;0,18;-9,93;0;0;0
15:18:13.284;55093,28495;0;0;0;-0,25;0,19;-9,93;0;0;0
15:18:13.434;55093,43498;0;0;0;-0,25;0,19;-9,92;0;0;0
15:18:13.504;55093,50498;0;0;0;-0,25;0,19;-9,93;0;0;0
15:18:13.624;55093,62499;0;0;0;-0,26;0,18;-9,92;0;0;0
15:18:13.684;55093,68499;0;0;0;-0,25;0,18;-9,92;0;0;0
15:18:13.824;55093,82499;0;0;0;-0,26;0,18;-9,93;0;0;0
15:18:13.934;55093,93499;0;0;0;-0,26;0,18;-9,92;0;0;0
15:18:14.004;55094,005;0;0;0;-0,25;0,19;-9,93;0;0;0
15:18:14.175;55094,17501;0;0;0;-0,25;0,19;-9,93;0;0;0
